from,to,distance
EEG FP1,EEG FP1,0.0
EEG FP1,EEG FP2,0.618
EEG FP1,EEG F3,0.6189689976081193
EEG FP1,EEG F4,1.0303218040981177
EEG FP1,EEG C3,1.2502260715566604
EEG FP1,EEG C4,1.561102440584858
EEG FP1,EEG P3,1.714216468244311
EEG FP1,EEG P4,1.9018355607149635
EEG FP1,EEG O1,1.9022
EEG FP1,EEG O2,2.000072208696476
EEG FP1,EEG F7,0.6180508797825629
EEG FP1,EEG F8,1.1755470598831848
EEG FP1,EEG T3,1.1756156727434353
EEG FP1,EEG T4,1.618045799722616
EEG FP1,EEG T5,1.6180893702141423
EEG FP1,EEG T6,1.90214016570809
EEG FP1,EEG FZ,0.8093252807122733
EEG FP1,EEG CZ,1.414239092232993
EEG FP1,EEG PZ,1.8289610848785165
EEG FP2,EEG FP1,0.618
EEG FP2,EEG FP2,0.0
EEG FP2,EEG F3,1.0303218040981177
EEG FP2,EEG F4,0.6189689976081193
EEG FP2,EEG C3,1.561102440584858
EEG FP2,EEG C4,1.2502260715566604
EEG FP2,EEG P3,1.9018355607149635
EEG FP2,EEG P4,1.714216468244311
EEG FP2,EEG O1,2.000072208696476
EEG FP2,EEG O2,1.9022
EEG FP2,EEG F7,1.1755470598831848
EEG FP2,EEG F8,0.6180508797825629
EEG FP2,EEG T3,1.618045799722616
EEG FP2,EEG T4,1.1756156727434353
EEG FP2,EEG T5,1.90214016570809
EEG FP2,EEG T6,1.6180893702141423
EEG FP2,EEG FZ,0.8093252807122733
EEG FP2,EEG CZ,1.414239092232993
EEG FP2,EEG PZ,1.8289610848785165
EEG F3,EEG FP1,0.6189689976081193
EEG F3,EEG FP2,1.0303218040981177
EEG F3,EEG F3,0.0
EEG F3,EEG F4,1.0978
EEG F3,EEG C3,0.7212075221460186
EEG F3,EEG C4,1.4396697711628177
EEG F3,EEG P3,1.3434
EEG F3,EEG P4,1.7349029944063157
EEG F3,EEG O1,1.714216468244311
EEG F3,EEG O2,1.9018355607149635
EEG F3,EEG F7,0.5676244092707783
EEG F3,EEG F8,1.4485985882914565
EEG F3,EEG T3,0.949830695439982
EEG F3,EEG T4,1.7600506668843372
EEG F3,EEG T5,1.378948334782707
EEG F3,EEG T6,1.91774318145053
EEG F3,EEG FZ,0.5886225700735574
EEG F3,EEG CZ,1.0024860846914534
EEG F3,EEG PZ,1.498770432721436
EEG F4,EEG FP1,1.0303218040981177
EEG F4,EEG FP2,0.6189689976081193
EEG F4,EEG F3,1.0978
EEG F4,EEG F4,0.0
EEG F4,EEG C3,1.4396697711628177
EEG F4,EEG C4,0.7212075221460186
EEG F4,EEG P3,1.7349029944063157
EEG F4,EEG P4,1.3434
EEG F4,EEG O1,1.9018355607149635
EEG F4,EEG O2,1.714216468244311
EEG F4,EEG F7,1.4485985882914565
EEG F4,EEG F8,0.5676244092707783
EEG F4,EEG T3,1.7600506668843372
EEG F4,EEG T4,0.949830695439982
EEG F4,EEG T5,1.91774318145053
EEG F4,EEG T6,1.378948334782707
EEG F4,EEG FZ,0.5886225700735574
EEG F4,EEG CZ,1.0024860846914534
EEG F4,EEG PZ,1.498770432721436
EEG C3,EEG FP1,1.2502260715566604
EEG C3,EEG FP2,1.561102440584858
EEG C3,EEG F3,0.7212075221460186
EEG C3,EEG F4,1.4396697711628177
EEG C3,EEG C3,0.0
EEG C3,EEG C4,1.4142
EEG C3,EEG P3,0.7212075221460186
EEG C3,EEG P4,1.4396697711628177
EEG C3,EEG O1,1.2502260715566604
EEG C3,EEG O2,1.561102440584858
EEG C3,EEG F7,0.9251393732838312
EEG C3,EEG F8,1.7731493056141665
EEG C3,EEG T3,0.7653631948297488
EEG C3,EEG T4,1.847750204979017
EEG C3,EEG T5,0.9251393732838312
EEG C3,EEG T6,1.7731493056141665
EEG C3,EEG FZ,0.9999904099540154
EEG C3,EEG CZ,0.7653631948297488
EEG C3,EEG PZ,0.9999904099540154
EEG C4,EEG FP1,1.561102440584858
EEG C4,EEG FP2,1.2502260715566604
EEG C4,EEG F3,1.4396697711628177
EEG C4,EEG F4,0.7212075221460186
EEG C4,EEG C3,1.4142
EEG C4,EEG C4,0.0
EEG C4,EEG P3,1.4396697711628177
EEG C4,EEG P4,0.7212075221460186
EEG C4,EEG O1,1.561102440584858
EEG C4,EEG O2,1.2502260715566604
EEG C4,EEG F7,1.7731493056141665
EEG C4,EEG F8,0.9251393732838312
EEG C4,EEG T3,1.847750204979017
EEG C4,EEG T4,0.7653631948297488
EEG C4,EEG T5,1.7731493056141665
EEG C4,EEG T6,0.9251393732838312
EEG C4,EEG FZ,0.9999904099540154
EEG C4,EEG CZ,0.7653631948297488
EEG C4,EEG PZ,0.9999904099540154
EEG P3,EEG FP1,1.714216468244311
EEG P3,EEG FP2,1.9018355607149635
EEG P3,EEG F3,1.3434
EEG P3,EEG F4,1.7349029944063157
EEG P3,EEG C3,0.7212075221460186
EEG P3,EEG C4,1.4396697711628177
EEG P3,EEG P3,0.0
EEG P3,EEG P4,1.0978
EEG P3,EEG O1,0.6189689976081193
EEG P3,EEG O2,1.0303218040981177
EEG P3,EEG F7,1.378948334782707
EEG P3,EEG F8,1.91774318145053
EEG P3,EEG T3,0.949830695439982
EEG P3,EEG T4,1.7600506668843372
EEG P3,EEG T5,0.5676244092707783
EEG P3,EEG T6,1.4485985882914565
EEG P3,EEG FZ,1.498770432721436
EEG P3,EEG CZ,1.0024860846914534
EEG P3,EEG PZ,0.5886225700735574
EEG P4,EEG FP1,1.9018355607149635
EEG P4,EEG FP2,1.714216468244311
EEG P4,EEG F3,1.7349029944063157
EEG P4,EEG F4,1.3434
EEG P4,EEG C3,1.4396697711628177
EEG P4,EEG C4,0.7212075221460186
EEG P4,EEG P3,1.0978
EEG P4,EEG P4,0.0
EEG P4,EEG O1,1.0303218040981177
EEG P4,EEG O2,0.6189689976081193
EEG P4,EEG F7,1.91774318145053
EEG P4,EEG F8,1.378948334782707
EEG P4,EEG T3,1.7600506668843372
EEG P4,EEG T4,0.949830695439982
EEG P4,EEG T5,1.4485985882914565
EEG P4,EEG T6,0.5676244092707783
EEG P4,EEG FZ,1.498770432721436
EEG P4,EEG CZ,1.0024860846914534
EEG P4,EEG PZ,0.5886225700735574
EEG O1,EEG FP1,1.9022
EEG O1,EEG FP2,2.000072208696476
EEG O1,EEG F3,1.714216468244311
EEG O1,EEG F4,1.9018355607149635
EEG O1,EEG C3,1.2502260715566604
EEG O1,EEG C4,1.561102440584858
EEG O1,EEG P3,0.6189689976081193
EEG O1,EEG P4,1.0303218040981177
EEG O1,EEG O1,0.0
EEG O1,EEG O2,0.618
EEG O1,EEG F7,1.6180893702141423
EEG O1,EEG F8,1.90214016570809
EEG O1,EEG T3,1.1756156727434353
EEG O1,EEG T4,1.618045799722616
EEG O1,EEG T5,0.6180508797825629
EEG O1,EEG T6,1.1755470598831848
EEG O1,EEG FZ,1.8289610848785165
EEG O1,EEG CZ,1.414239092232993
EEG O1,EEG PZ,0.8093252807122733
EEG O2,EEG FP1,2.000072208696476
EEG O2,EEG FP2,1.9022
EEG O2,EEG F3,1.9018355607149635
EEG O2,EEG F4,1.714216468244311
EEG O2,EEG C3,1.561102440584858
EEG O2,EEG C4,1.2502260715566604
EEG O2,EEG P3,1.0303218040981177
EEG O2,EEG P4,0.6189689976081193
EEG O2,EEG O1,0.618
EEG O2,EEG O2,0.0
EEG O2,EEG F7,1.90214016570809
EEG O2,EEG F8,1.6180893702141423
EEG O2,EEG T3,1.618045799722616
EEG O2,EEG T4,1.1756156727434353
EEG O2,EEG T5,1.1755470598831848
EEG O2,EEG T6,0.6180508797825629
EEG O2,EEG FZ,1.8289610848785165
EEG O2,EEG CZ,1.414239092232993
EEG O2,EEG PZ,0.8093252807122733
EEG F7,EEG FP1,0.6180508797825629
EEG F7,EEG FP2,1.1755470598831848
EEG F7,EEG F3,0.5676244092707783
EEG F7,EEG F4,1.4485985882914565
EEG F7,EEG C3,0.9251393732838312
